"agName","agCode","faoCode","faoKName","value","unit","groupCode"
"아몬드",33301,"0221","아몬드(껍데기를 벗기지 않은 것)",546332,"ha","3"
"사과",11601,"0515","사과",116753,"ha","1"
"살구",11604,"0526","살구",2505,"ha","1"
"아티초크",12189,"0366","아티초크",1821,"ha","1"
"아스파라거스",12151,"0367","아스파라거스",6070,"ha","1"
"당나귀",21104,"1107","당나귀",51973,"An","2"
"애버카도우",11624,"0572","애버카도우",20935,"ha","1"
"바나나",11628,"0486","바나나",343,"ha","1"
"보리",11102,"0044","보리",984610,"ha","1"
"녹두",11311,"0176","콩(건조)",491055,"ha","1"
"벌",21701,"1181","벌",2667000,"No","2"
"크렌베리",11612,"0552","블루베리",46539,"ha","1"
"기타콩",11399,"0420","잠두(신선)",16186,"ha","1"
"메밀",11108,"0089","메밀",82442,"ha","1"
"배추",12101,"0358","양배추",22703,"ha","1"
"멜론",12133,"0568","칸타루페 및 기타 멜론류",18211,"ha","1"
"순무",12122,"0426","당근과 순무",25576,"ha","1"
"피마자",11512,"0265","피마자",0,"ha","1"
"소",21101,"0866","소",92076600,"An","2"
"꽃양배추",12103,"0393","꽃양배추와 브로콜리",55159,"ha","1"
"기타곡물",11199,"0108","기타 곡물",0,"ha","1"
"버찌",11608,"0531","체리",34196,"ha","1"
"이집트콩",11322,"0191","이집트콩(건조)",138360,"ha","1"
"닭",21201,"1057","닭",1528000,"1000 An","2"
"고추",12161,"0689","고추와 파프리카(건조, 생것)",0,"ha","1"
"파프리카",12138,"0401","고추(신선)",16511,"ha","1"
"커피",15101,"0656","커피(신선)",2833,"ha","1"
"비그나파세러스콩",11319,"0195","동부콩(건조)",3885,"ha","1"
"크렌베리",11612,"0554","크랜베리",15014,"ha","1"
"오이",12132,"0397","오이",33792,"ha","1"
"커런트",11611,"0550","커런트",0,"ha","1"
"대추야자",11621,"0577","대추야자",6475,"ha","1"
"오리",21202,"1068","오리",7900,"1000 An","2"
"가지",12135,"0399","가지",2650,"ha","1"
"무화과",11622,"0569","무화과",2664,"ha","1"
"생강",12162,"0720","생강(생것)",20,"ha","1"
"산양",21106,"1016","염소",2550000,"An","2"
"포도",11651,"0560","포도",364221,"ha","1"
"기타채소",12179,"0446","풋옥수수",137756,"ha","1"
"마늘",12144,"0406","마늘(신선)",10441,"ha","1"
"땅콩",11501,"0242","땅콩(껍데기를 벗긴 것 제외)",560660,"ha","1"
"헤즐너트",33302,"0225","헤이즐넛(껍데기를 벗기지 않은 것)",27519,"ha","3"
"기타채유종실",11599,"0336","대마",2177,"ha","1"
"호프",11901,"0677","호프",24190,"ha","1"
"말",21103,"1096","말",10313890,"An","2"
"키위",11614,"0592","키위",1943,"ha","1"
"레몬",11644,"0497","레몬과 라임",23796,"ha","1"
"렌즈콩",11323,"0201","렌즈콩(건조)",243620,"ha","1"
"상치",12111,"0372","양상추와 치커리",100201,"ha","1"
"아마인",11503,"0333","아마인",98740,"ha","1"
"옥수수",11105,"0056","옥수수",32054280,"ha","1"
"과아버",11625,"0571","망고, 구아바 및 망고스틴",39,"ha","1"
"밀리트",11106,"0079","밀리트",205180,"ha","1"
"당나귀",21104,"1110","노새와 힌니",0,"An","2"
"겨자씨",11514,"0292","겨자씨",73650,"ha","1"
"귀리",11109,"0075","귀리",360170,"ha","1"
"기타채소",12179,"0430","오크라",1330,"ha","1"
"올리브",12185,"0260","올리브",13759,"ha","1"
"양파",12141,"0403","양파와 샬롯(건조)",51477,"ha","1"
"오렌지",11641,"0490","오렌지",187614,"ha","1"
"비그나파세러스콩",11319,"0414","기타콩(신선)",9230,"ha","1"
"나무딸기",11610,"0558","기타 박시니엄속의 베리류와 과실",3560,"ha","1"
"기타감귤류",11649,"0512","기타 감귤류",1100,"ha","1"
"기타과실",11699,"0619","기타 과실",35,"ha","1"
"잣",33306,"0234","다른 견과류(껍데기를 벗기지 않은 것), 야생 식용 견과류 및 땅콩 제외",172074,"ha","3"
"깻잎",12114,"0463","기타 채소(신선)",9308,"ha","1"
"파파야",11652,"0600","파파야",202,"ha","1"
"복숭아",11603,"0534","복숭아와 넥터린",34601,"ha","1"
"배",11602,"0521","배",16430,"ha","1"
"완두",11321,"0187","완두콩(건조)",348840,"ha","1"
"완두",11321,"0417","완두콩(신선)",48684,"ha","1"
"파인애플",11623,"0574","파인애플",5858,"ha","1"
"피스타치오",33305,"0223","피스타치오(껍데기를 벗기지 않은 것)",173207,"ha","3"
"자두",11605,"0536","자두와 슬로",19263,"ha","1"
"그레이프푸루트",11645,"0507","포멜로와 그레이프프루트",14933,"ha","1"
"감자",11201,"0116","감자",362440,"ha","1"
"호박",12134,"0394","호박",42492,"ha","1"
"유채",11504,"0270","유채",881980,"ha","1"
"나무딸기",11610,"0547","나무딸기",6192,"ha","1"
"쌀",11101,"0027","쌀",878990,"ha","1"
"호밀",11104,"0071","호밀",138000,"ha","1"
"잇꽃씨",11515,"0280","잇꽃씨",54750,"ha","1"
"면",17201,"0328","실면(조면되지않은)",3011180,"ha","1"
"참깨",11513,"0289","참깨",0,"ha","1"
"면양",21105,"0976","양",5065000,"An","2"
"수수",11107,"0083","수수",1849430,"ha","1"
"버찌",11608,"0530","신 체리",12626,"ha","1"
"대두",11301,"0236","대두",34939320,"ha","1"
"시금치",12113,"0373","시금치",24403,"ha","1"
"딸기",12136,"0544","딸기",21287,"ha","1"
"비그나파세러스콩",11319,"0423","스트링콩",64022,"ha","1"
"사탕무",11921,"0157","사탕무",460170,"ha","1"
"사탕수수",11922,"0156","사탕수수",375800,"ha","1"
"해바라기씨",11505,"0267","해바라기씨",650340,"ha","1"
"고구마",11202,"0122","고구마",53500,"ha","1"
"돼지",21102,"1034","돼지",74399300,"An","2"
"감귤",11642,"0495","귤, 만다린, 클레멘타인",30837,"ha","1"
"토란",11260,"0136","토란",114,"ha","1"
"토마토",12131,"0388","토마토",106757,"ha","1"
"대마",17221,"0777","대마(생대마, 침지대마)",2772,"ha","1"
"기타채유종실",11599,"0275","유동",0,"ha","1"
"칠면조",21203,"1079","칠면조",70000,"1000 An","2"
"잎담배",15401,"0826","잎담배",81650,"ha","1"
"호도",33303,"0222","호두(껍데기를 벗기지 않은 것)",161876,"ha","3"
"수박",12137,"0567","수박",37717,"ha","1"
"밀",11103,"0015","밀",14358400,"ha","1"
"팥",11312,"0176","콩(건조)",,,"1"
"양배추",12102,"0358","양배추",,,"1"
"참외",12139,"0568","칸타루페 및 기타 멜론류",,,"1"
"당근",12123,"0426","당근과 순무",,,"1"
"고추",12161,"0401","고추(신선)",,,"1"
"오리고기",22202,1068,"오리",,,"2"
"루플린",11902,"0677","호프",,,"1"
"결구상치",12112,"0372","양상추와 치커리",,,"1"
"맹고",11626,"0571","망고, 구아바 및 망고스틴",,,"1"
"쪽파",12143,"0403","양파와 샬롯(건조)",,,"1"
"크렌베리",11612,"0558","기타 박시니엄속의 베리류와 과실",,,"1"
"감(임산물)",33311,"0619","기타 과실",,,"3"
"은행",33307,"0234","다른 견과류(껍데기를 벗기지 않은 것), 야생 식용 견과류 및 땅콩 제외",,,"3"
"무",12121,"0463","기타 채소(신선)",,,"1"
"슬로우",11606,"0536","자두와 슬로",,,"1"
"맨더린류",11643,"0495","귤, 만다린, 클레멘타인",,,"1"
"잎담배부산물",15402,"0826","잎담배",,,"1"